preco,condominio,IPTU,metros_quadrados,quartos,banheiros,vagas,endereco
790000,266,1484,360,3 ,3 ,2 ,"Rua Valentim Duhnam, Freguesia- Jacarepaguá"
950000,500,100,90,4 ,4 ,2 ,"Jacarepaguá, Rio de Janeiro"
890000,NA,837,140,3 ,3 ,3 ,"Rua das Verbenas,  Vila Valqueire"
405000,NA,NA,75,2 ,2 ,1 ,"Avenida Marechal Rondon, São Francisco Xavier"
690000,NA,NA,150,4 ,4 ,6 ,"Rua Sebastião Caldas, Parque Anchieta"
450000,50,24,125,3 ,1 ,1 ,"Avenida Maracanã, Tijuca"
450000,50,24,125,3 ,1 ,1 ,"Avenida Maracanã, Tijuca"
450000,50,24,125,3 ,1 ,1 ,"Avenida Maracanã, Tijuca"
350000,NA,NA,100,2 ,NA,NA,"Rua Ferreira Pontes, Tijuca"
680000,NA,984,153,3 ,2 ,4 ,"Rua Honório, Todos os Santos"
800000,100,147,204,3 ,4 ,3 ,"Rua Pirassinunga, Tanque"
2298000,NA,456,285,5 ,3 ,2 ,"Rua do Humaitá, Humaitá"
1901232,1065,343,140,4 ,3 ,2 ,"Rua Omar Bandeira Ramidan Sobrinho, Recreio Dos Bandeirantes"
420000,NA,444,183,2 ,2 ,1 ,"Campo Grande, Rio de Janeiro"
970000,NA,2424,300,4 ,4 ,2 ,"Rua Borda do Mato, Grajaú"
1000000,NA,NA,155,4 ,2 ,2 ,"Rua Caruaru, Grajaú"
780000,NA,NA,172,3 ,2 ,1 ,"Jardim Guanabara, Rio de Janeiro"
1700000,935,4000,500,5 ,6 ,2 ,"Rua Doutor César Cartel Villela, Recreio Dos Bandeirantes"
680000,NA,NA,179,3 ,3 ,1 ,"Portuguesa, Rio de Janeiro"
630000,NA,1600,3100,3 ,2 ,4 ,"Estrada dos Bandeirantes, Vargem Pequena"
1400000,NA,NA,160,4 ,5 ,2 ,"Rua da Inspiração, Vila da Penha"
790000,266,1484,360,3 ,3 ,2 ,"Rua Valentim Duhnam, Freguesia- Jacarepaguá"
950000,500,100,90,4 ,4 ,2 ,"Jacarepaguá, Rio de Janeiro"
890000,NA,837,140,3 ,3 ,3 ,"Rua das Verbenas,  Vila Valqueire"
405000,NA,NA,75,2 ,2 ,1 ,"Avenida Marechal Rondon, São Francisco Xavier"
690000,NA,NA,150,4 ,4 ,6 ,"Rua Sebastião Caldas, Parque Anchieta"
450000,50,24,125,3 ,1 ,1 ,"Avenida Maracanã, Tijuca"
450000,50,24,125,3 ,1 ,1 ,"Avenida Maracanã, Tijuca"
450000,50,24,125,3 ,1 ,1 ,"Avenida Maracanã, Tijuca"
350000,NA,NA,100,2 ,NA,NA,"Rua Ferreira Pontes, Tijuca"
800000,100,147,204,3 ,4 ,3 ,"Rua Pirassinunga, Tanque"
2298000,NA,456,285,5 ,3 ,2 ,"Rua do Humaitá, Humaitá"
1901232,1065,343,140,4 ,3 ,2 ,"Rua Omar Bandeira Ramidan Sobrinho, Recreio Dos Bandeirantes"
420000,NA,444,183,2 ,2 ,1 ,"Campo Grande, Rio de Janeiro"
970000,NA,2424,300,4 ,4 ,2 ,"Rua Borda do Mato, Grajaú"
1000000,NA,NA,155,4 ,2 ,2 ,"Rua Caruaru, Grajaú"
780000,NA,NA,172,3 ,2 ,1 ,"Jardim Guanabara, Rio de Janeiro"
1700000,935,4000,500,5 ,6 ,2 ,"Rua Doutor César Cartel Villela, Recreio Dos Bandeirantes"
680000,NA,NA,179,3 ,3 ,1 ,"Portuguesa, Rio de Janeiro"
630000,NA,1600,3100,3 ,2 ,4 ,"Estrada dos Bandeirantes, Vargem Pequena"
1400000,NA,NA,160,4 ,5 ,2 ,"Rua da Inspiração, Vila da Penha"
500000,NA,NA,324,3 ,3 ,2 ,"Rua Caracas, Bento Ribeiro"
1490000,NA,480,500,5 ,5 ,4 ,"Rua Crescencio Mendes do Nascimento, Vargem Grande"
250000,NA,NA,240,3 ,3 ,1 ,"Rua Djalma Brum, Santíssimo"
650000,NA,987,250,5 ,4 ,NA,"Rua Almirante Alexandrino, Santa Teresa"
640000,NA,1810,235,3 ,3 ,1 ,"Rua Paulo Silva Araújo, Méier"
600000,NA,NA,205,5 ,3 ,2 ,"Tauá, Rio de Janeiro"
1890000,1000,400,240,4 ,7 ,5 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
490000,NA,NA,220,2 ,3 ,NA,"Penha, Rio de Janeiro"
930000,500,100,90,4 ,4 ,2 ,"Jacarepaguá, Rio de Janeiro"
930000,500,100,90,4 ,4 ,2 ,"Jacarepaguá, Rio de Janeiro"
680000,NA,2739,544,5 ,2 ,7 ,"Rua Silva Gomes, Cascadura"
610000,NA,1980,197,3 ,2 ,NA,"Rua Sargento Luís da Silva, Taquara"
349000,NA,374,150,5 ,2 ,NA,"Rua Teixeira Ribeiro, Bonsucesso"
2300000,NA,627,269,3 ,4 ,4 ,"Rua Professor Milward, Barra da Tijuca"
170000,NA,NA,70,2 ,1 ,NA,"Rua Nuncio Caleppi, Realengo"
950000,NA,1463,224,4 ,1 ,2 ,"Rua Fortunato de Brito, Freguesia- Jacarepaguá"
730000,NA,1472,169,3 ,1 ,3 ,"Grajaú, Rio de Janeiro"
300000,NA,NA,105,2 ,1 ,1 ,"Rua Lópes Ferreira, Irajá"
1300000,98,780,80,3 ,2 ,1 ,"Rua Figueiredo Magalhães, Copacabana"
3800000,NA,1800,750,6 ,10 ,NA,"Lagoa, Rio de Janeiro"
850000,1,1789,178,3 ,5 ,2 ,"Rua Contenda,  Vila Valqueire"
460000,NA,1383,214,3 ,2 ,1 ,"Travessa Cerqueira Lima, Riachuelo"
1150000,NA,2623,364,4 ,4 ,4 ,"Rua das Verbenas,  Vila Valqueire"
4800000,NA,1700,460,12 ,13 ,NA,"Rua Bambina, Botafogo"
400000,NA,NA,95,3 ,2 ,NA,"Rua Vinte e Um de Abril, Quintino Bocaiúva"
2650000,NA,7000,230,1 ,1 ,3 ,"Rua Emílio Berla, Copacabana"
900000,NA,NA,130,3 ,6 ,3 ," Vila Valqueire, Rio de Janeiro"
230000,NA,NA,65,2 ,1 ,1 ,"Campo Grande, Rio de Janeiro"
950000,500,100,90,4 ,4 ,2 ,"Jacarepaguá, Rio de Janeiro"
700000,NA,1066,149,3 ,1 ,2 ,"Andaraí, Rio de Janeiro"
2000000,NA,4000,750,4 ,7 ,2 ,"Rua Professor Olinto de Oliveira, Santa Teresa"
640000,NA,1810,235,3 ,3 ,1 ,"Rua Paulo Silva Araújo, Méier"
600000,NA,NA,205,5 ,3 ,2 ,"Tauá, Rio de Janeiro"
1890000,1000,400,240,4 ,7 ,5 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
490000,NA,NA,220,2 ,3 ,NA,"Penha, Rio de Janeiro"
930000,500,100,90,4 ,4 ,2 ,"Jacarepaguá, Rio de Janeiro"
930000,500,100,90,4 ,4 ,2 ,"Jacarepaguá, Rio de Janeiro"
680000,NA,2739,544,5 ,2 ,7 ,"Rua Silva Gomes, Cascadura"
610000,NA,1980,197,3 ,2 ,NA,"Rua Sargento Luís da Silva, Taquara"
349000,NA,374,150,5 ,2 ,NA,"Rua Teixeira Ribeiro, Bonsucesso"
2300000,NA,627,269,3 ,4 ,4 ,"Rua Professor Milward, Barra da Tijuca"
170000,NA,NA,70,2 ,1 ,NA,"Rua Nuncio Caleppi, Realengo"
950000,NA,1463,224,4 ,1 ,2 ,"Rua Fortunato de Brito, Freguesia- Jacarepaguá"
300000,NA,NA,105,2 ,1 ,1 ,"Rua Lópes Ferreira, Irajá"
1300000,98,780,80,3 ,2 ,1 ,"Rua Figueiredo Magalhães, Copacabana"
3800000,NA,1800,750,6 ,10 ,NA,"Lagoa, Rio de Janeiro"
850000,1,1789,178,3 ,5 ,2 ,"Rua Contenda,  Vila Valqueire"
460000,NA,1383,214,3 ,2 ,1 ,"Travessa Cerqueira Lima, Riachuelo"
1150000,NA,2623,364,4 ,4 ,4 ,"Rua das Verbenas,  Vila Valqueire"
4800000,NA,1700,460,12 ,13 ,NA,"Rua Bambina, Botafogo"
400000,NA,NA,95,3 ,2 ,NA,"Rua Vinte e Um de Abril, Quintino Bocaiúva"
2650000,NA,7000,230,1 ,1 ,3 ,"Rua Emílio Berla, Copacabana"
639999,120,NA,246,3 ,4 ,2 ,"Rua Aristides Lobo, Tijuca"
4800000,2250,28287,912,5 ,4 ,6 ,"Barra da Tijuca, Rio de Janeiro"
2550000,NA,1533,222,7 ,3 ,2 ,"Rua Silveira Martins, Flamengo"
1780000,860,NA,206,5 ,5 ,2 ,"Avenida das Américas, Recreio Dos Bandeirantes"
3200000,1591,1910,575,5 ,5 ,6 ,"Barra da Tijuca, Rio de Janeiro"
534000,NA,NA,259,4 ,2 ,2 ,"Rua José Braga, Jacarepaguá"
518000,80,981,140,3 ,4 ,1 ,"Avenida Afonso da Silveira Filho, Anil"
500000,NA,1283,259,3 ,3 ,2 ,"Rua Cadete Polônia, Sampaio"
864999,550,NA,150,2 ,3 ,1 ,"Rua Professor Hélion Povoa, Tijuca"
316500,NA,NA,80,3 ,2 ,1 ,"Jardim Sulacap, Rio de Janeiro"
250000,90,NA,62,2 ,1 ,1 ,"Rua Fernando Saboya de Fiuza, Campo Grande"
460000,805,NA,94,3 ,2 ,1 ,"Estrada Cachamorra, Campo Grande"
690000,50,450,70,2 ,NA,1 ,"Rua Leite Leal, Laranjeiras"
1850000,510,NA,593,3 ,1 ,4 ,"Rua Sequóia, Anil"
2200000,500,NA,340,4 ,4 ,2 ,"Rua José Zanine Caldas, Recreio Dos Bandeirantes"
370000,NA,NA,58,3 ,3 ,NA,"Quintino Bocaiúva, Rio de Janeiro"
1890000,860,580,295,4 ,7 ,6 ,"Rua Walmor Chagas, Recreio Dos Bandeirantes"
650000,800,1700,105,3 ,1 ,2 ,"Recreio Dos Bandeirantes, Rio de Janeiro"
4800000,2000,17000,650,5 ,6 ,4 ,"Rua Paulo Santos, Barra da Tijuca"
1200000,NA,NA,480,4 ,4 ,8 ,"Rua Jaciru, Taquara"
1160000,NA,800,270,4 ,4 ,5 ,"Tijuca, Rio de Janeiro"
788000,NA,NA,380,5 ,6 ,4 ,"Rua Soldado Abel Mendanha,  Pedra de Guaratiba"
198000,NA,NA,107,1 ,1 ,1 ,"Rua Tiboim, Brás de Pina"
600000,NA,718,80,2 ,3 ,NA,"Rua Barão de São Francisco, Andaraí"
630000,NA,4000,210,4 ,3 ,NA,"Rua Visconde de Abaeté, Vila Isabel"
550000,NA,NA,98,2 ,2 ,4 ,"Rua Valinhos, Engenho Da Rainha"
99000,NA,NA,75,1 ,1 ,NA,"Rua Ministro Moreira de Abreu, Olaria"
330000,NA,NA,153,3 ,1 ,2 ,"Rua Santo Elias, Rocha Miranda"
6000000,950,452,238,4 ,2 ,4 ,"Rua Pacheco Leão, Jardim Botânico"
500000,NA,129,200,3 ,3 ,1 ,"Rua Leopoldina Rego, Olaria"
450000,NA,NA,110,3 ,2 ,3 ,"Rua Joaquim Rodrigues, Parada de Lucas"
1890000,1460,973,363,4 ,6 ,3 ,"Avenida das Américas, Barra da Tijuca"
420000,NA,1409,120,3 ,1 ,NA,"Tijuca, Rio de Janeiro"
500000,NA,393,167,2 ,2 ,3 ,"Rua Flor da Páscoa, Campo Grande"
755000,NA,4419,490,4 ,4 ,3 ,"Rua Jornalista José Morais, Pechincha"
170000,NA,NA,75,2 ,1 ,1 ,"Rua Piraquê, Madureira"
2000000,NA,1200,400,3 ,7 ,3 ,"Rua Roberval Cordeiro de Farias, Recreio Dos Bandeirantes"
995000,NA,1200,200,3 ,3 ,3 ," Vila Valqueire, Rio de Janeiro"
559000,250,NA,110,3 ,3 ,2 ,"Rua Imuta, Pechincha"
699000,450,1300,134,3 ,3 ,2 ,"Rua Manhuaçu, Vargem Grande"
320000,NA,425,89,2 ,1 ,NA,"Grajaú, Rio de Janeiro"
649000,NA,6421,146,4 ,4 ,1 ,"Rua São Francisco Xavier, Maracanã"
2900000,1450,NA,487,5 ,2 ,2 ,"Rua Senador Generoso Ponce, Barra da Tijuca"
580000,NA,NA,199,4 ,2 ,2 ,"Rua Tenente Costa, Méier"
1060000,50,609,153,2 ,3 ,NA,"Tijuca, Rio de Janeiro"
500000,480,120,100,3 ,2 ,2 ,"Rua Caniu, Pechincha"
630000,NA,NA,170,4 ,4 ,1 ,"Rua Francisca Matos, Tauá"
960000,350,3990,449,4 ,5 ,2 ,"Rua Retiro dos Artistas, Pechincha"
1780000,860,NA,206,5 ,5 ,2 ,"Avenida das Américas, Recreio Dos Bandeirantes"
3200000,1591,1910,575,5 ,5 ,6 ,"Barra da Tijuca, Rio de Janeiro"
534000,NA,NA,259,4 ,2 ,2 ,"Rua José Braga, Jacarepaguá"
518000,80,981,140,3 ,4 ,1 ,"Avenida Afonso da Silveira Filho, Anil"
500000,NA,1283,259,3 ,3 ,2 ,"Rua Cadete Polônia, Sampaio"
450000,NA,NA,189,3 ,3 ,2 ,"Rua Luiz Barata, Campo Grande"
864999,550,NA,150,2 ,3 ,1 ,"Rua Professor Hélion Povoa, Tijuca"
316500,NA,NA,80,3 ,2 ,1 ,"Jardim Sulacap, Rio de Janeiro"
165000,320,NA,48,1 ,1 ,1 ,"Quintino Bocaiúva, Rio de Janeiro"
250000,90,NA,62,2 ,1 ,1 ,"Rua Fernando Saboya de Fiuza, Campo Grande"
460000,805,NA,94,3 ,2 ,1 ,"Estrada Cachamorra, Campo Grande"
690000,50,450,70,2 ,NA,1 ,"Rua Leite Leal, Laranjeiras"
1850000,510,NA,593,3 ,1 ,4 ,"Rua Sequóia, Anil"
2200000,500,NA,340,4 ,4 ,2 ,"Rua José Zanine Caldas, Recreio Dos Bandeirantes"
370000,NA,NA,58,3 ,3 ,NA,"Quintino Bocaiúva, Rio de Janeiro"
1890000,860,580,295,4 ,7 ,6 ,"Rua Walmor Chagas, Recreio Dos Bandeirantes"
4800000,2000,17000,650,5 ,6 ,4 ,"Rua Paulo Santos, Barra da Tijuca"
1200000,NA,NA,480,4 ,4 ,8 ,"Rua Jaciru, Taquara"
500000,NA,1251,200,4 ,3 ,3 ,"Rua da Cascata, Tijuca"
1160000,NA,800,270,4 ,4 ,5 ,"Tijuca, Rio de Janeiro"
788000,NA,NA,380,5 ,6 ,4 ,"Rua Soldado Abel Mendanha,  Pedra de Guaratiba"
198000,NA,NA,107,1 ,1 ,1 ,"Rua Tiboim, Brás de Pina"
600000,NA,718,80,2 ,3 ,NA,"Rua Barão de São Francisco, Andaraí"
2100000,NA,182,391,4 ,6 ,3 ,"Rua Fantoches, Jardim Guanabara"
720000,100,2254,183,3 ,5 ,1 ,"Rua Antônio Cordeiro, Freguesia- Jacarepaguá"
3200000,1400,12000,360,5 ,3 ,2 ,"Rua Ênio Silveira, Barra da Tijuca"
1200000,390,353,271,3 ,4 ,4 ,"Rua Moacir dos Santos Lima,  Vila Valqueire"
800000,630,NA,270,5 ,5 ,2 ,"Rua Teixeira Heizer, Recreio Dos Bandeirantes"
550000,NA,NA,140,2 ,2 ,2 ,"Estrada Mapua, Jacarepaguá"
700000,NA,3137,303,5 ,4 ,3 ,"Estrada do Bananal, Freguesia- Jacarepaguá"
550000,NA,1200,92,2 ,1 ,NA,"Rua Real Grandeza, Botafogo"
1900000,1340,967,535,4 ,3 ,2 ,"Rua Engenheiro Neves da Rocha, Itanhangá"
450000,NA,300,100,1 ,2 ,NA,"Rua Basílio de Brito, Cachambi"
650000,NA,101,140,3 ,2 ,NA,"Rua João Silva, Olaria"
650000,NA,921,148,3 ,3 ,4 ,"Rua Monsenhor Marques, Pechincha"
650000,NA,52,117,4 ,2 ,1 ,"Rua Dezoito de Outubro, Tijuca"
4000000,1590,1434,650,4 ,4 ,3 ,"Rua Alexandra, Itanhangá"
450000,NA,NA,1000,1 ,1 ,20 ,"Estrada Cabungui, Vargem Grande"
5500000,2400,12000,550,5 ,6 ,8 ,"Barra da Tijuca, Rio de Janeiro"
832000,NA,NA,139,4 ,1 ,2 ,"Rua Geminiano Gois, Freguesia- Jacarepaguá"
630000,NA,4000,210,4 ,3 ,NA,"Rua Visconde de Abaeté, Vila Isabel"
550000,NA,NA,98,2 ,2 ,4 ,"Rua Valinhos, Engenho Da Rainha"
99000,NA,NA,75,1 ,1 ,NA,"Rua Ministro Moreira de Abreu, Olaria"
330000,NA,NA,153,3 ,1 ,2 ,"Rua Santo Elias, Rocha Miranda"
6000000,950,452,238,4 ,2 ,4 ,"Rua Pacheco Leão, Jardim Botânico"
500000,NA,129,200,3 ,3 ,1 ,"Rua Leopoldina Rego, Olaria"
450000,NA,NA,110,3 ,2 ,3 ,"Rua Joaquim Rodrigues, Parada de Lucas"
1890000,1460,973,363,4 ,6 ,3 ,"Avenida das Américas, Barra da Tijuca"
449000,NA,100,100,2 ,1 ,4 ,"Olaria, Rio de Janeiro"
750000,360,NA,260,3 ,2 ,4 ,"Estrada do Rio Grande, Taquara"
275000,NA,NA,55,2 ,1 ,1 ,"Rua Luís de Brito, Maria da Graça"
970000,750,2100,255,3 ,3 ,4 ,"Estrada da Urucanga, Jacarepaguá"
1630000,750,6000,480,4 ,5 ,2 ,"Avenida Aldemir Martins, Recreio Dos Bandeirantes"
368000,NA,400,75,3 ,2 ,NA,"Rua Duque de Caxias, Vila Isabel"
1249999,75,NA,200,4 ,4 ,2 ,"Rua Dona Delfina, Tijuca"
420000,NA,252,95,2 ,2 ,1 ,"Rua Sousa Franco, Vila Isabel"
820000,NA,1561,161,3 ,2 ,4 ,"Pitangueiras, Rio de Janeiro"
200000,NA,NA,55,2 ,1 ,1 ,"Rua Virgínia Vidal, Tanque"
780000,70,156,124,4 ,4 ,NA,"Estrada dos Três Rios, Freguesia- Jacarepaguá"
670000,NA,1650,235,3 ,3 ,1 ,"Rua Paulo Silva Araújo, Méier"
840000,NA,134,164,4 ,4 ,1 ,"Rua Marechal Bittencourt, Riachuelo"
450000,NA,980,204,3 ,3 ,2 ,"Rua Mileto Maciel, Cacuia"
600000,370,NA,184,4 ,3 ,1 ,"Rua Lagoa Bonita, Vargem Grande"
6000000,NA,3931,220,4 ,8 ,1 ,"Rua Embaixador Morgan, Humaitá"
850000,NA,2821,170,4 ,3 ,2 ,"Rua Oliveira da Silva, Tijuca"
240000,NA,NA,45,2 ,1 ,1 ,"Estrada do Otaviano, Rocha Miranda"
390000,NA,NA,100,2 ,1 ,4 ,"Rua São Calisto, Taquara"
2900000,800,3500,340,4 ,5 ,5 ,"Recreio Dos Bandeirantes, Rio de Janeiro"
320000,50,NA,57,2 ,NA,1 ,"Avenida dos Mananciais, Taquara"
750000,NA,650,160,5 ,4 ,NA,"Praia da Moreninha, Paquetá"
4500000,1500,777,599,5 ,5 ,5 ,"Estrada de Itajuru, Itanhangá"
975000,NA,3300,179,4 ,2 ,2 ,"Rua Enes de Sousa, Tijuca"
620000,NA,254,169,3 ,3 ,2 ,"Rua Apolonia Pinto, Tanque"
650000,NA,NA,150,5 ,3 ,2 ,"Campo Grande, Rio de Janeiro"
1650000,800,276,203,4 ,3 ,2 ,"Rua Sylvio da Rocha Pollis, Barra da Tijuca"
1199900,500,240,329,4 ,11 ,3 ,"Estrada Campo da Areia, Pechincha"
980000,NA,5280,216,3 ,3 ,2 ,"Rua Padre Elías Gorayeb, Tijuca"
980000,NA,2565,291,3 ,5 ,4 ,"Estrada dos Três Rios, Freguesia- Jacarepaguá"
610000,50,1018,156,2 ,2 ,NA,"Rua Senador Soares, Vila Isabel"
2280000,925,NA,243,4 ,5 ,4 ,"Estrada Vereador Alceu de Carvalho, Vargem Grande"
2499000,925,4971,599,4 ,4 ,4 ,"Recreio Dos Bandeirantes, Rio de Janeiro"
720000,100,2254,183,3 ,5 ,1 ,"Rua Antônio Cordeiro, Freguesia- Jacarepaguá"
1800000,1460,9000,300,4 ,3 ,2 ,"Barra da Tijuca, Rio de Janeiro"
3200000,1400,12000,360,5 ,3 ,2 ,"Rua Ênio Silveira, Barra da Tijuca"
1200000,390,353,271,3 ,4 ,4 ,"Rua Moacir dos Santos Lima,  Vila Valqueire"
800000,630,NA,270,5 ,5 ,2 ,"Rua Teixeira Heizer, Recreio Dos Bandeirantes"
550000,NA,NA,140,2 ,2 ,2 ,"Estrada Mapua, Jacarepaguá"
700000,NA,3137,303,5 ,4 ,3 ,"Estrada do Bananal, Freguesia- Jacarepaguá"
1800000,900,NA,220,4 ,3 ,3 ,"Rua Antônio Virzi, Recreio Dos Bandeirantes"
550000,NA,1200,92,2 ,1 ,NA,"Rua Real Grandeza, Botafogo"
1900000,1340,967,535,4 ,3 ,2 ,"Rua Engenheiro Neves da Rocha, Itanhangá"
450000,NA,300,100,1 ,2 ,NA,"Rua Basílio de Brito, Cachambi"
280000,NA,104,62,2 ,1 ,1 ,"Cavalcânti, Rio de Janeiro"
280000,NA,104,62,2 ,1 ,1 ,"Cavalcânti, Rio de Janeiro"
650000,NA,101,140,3 ,2 ,NA,"Rua João Silva, Olaria"
650000,NA,921,148,3 ,3 ,4 ,"Rua Monsenhor Marques, Pechincha"
2150000,997,6424,355,5 ,5 ,4 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
2150000,997,6424,355,5 ,5 ,4 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
390000,100,NA,95,3 ,1 ,2 ,"Rua Edgard Werneck, Freguesia- Jacarepaguá"
580000,NA,NA,200,2 ,4 ,NA,"Rua Fernandes Gusmão, Irajá"
930000,NA,3155,133,3 ,3 ,4 ,"Rua Dom Duarte Leopoldo, Jardim Guanabara"
7500000,NA,1475,670,4 ,4 ,NA,"Rua Peri, Jardim Botânico"
530000,NA,NA,227,3 ,2 ,5 ,"Rua Santa Mariana, Higienópolis"
1700000,1200,329,300,4 ,4 ,2 ,"Estrada da Gávea Pequena, Alto da Boa Vista"
650000,NA,1,100,3 ,2 ,3 ,"Rua Bárbara Heliodora, Jardim Sulacap"
1950000,1013,1121,600,5 ,7 ,3 ,"Estrada do Rio Grande, Taquara"
650000,50,NA,110,3 ,2 ,2 ,"Rua Alzira Brandão, Tijuca"
350000,NA,NA,56,2 ,1 ,NA,"Praia do Zumbi, Zumbi"
489999,NA,286,147,5 ,3 ,2 ,"Rua Conselheiro Jobim, Engenho Novo"
420000,NA,NA,81,2 ,1 ,3 ,"Rua Roruima, Irajá"
600000,NA,552,227,2 ,4 ,NA,"Rua Jogo da Bola, Saúde"
585000,NA,1413,230,5 ,1 ,4 ,"Rua Jornalista Mário Galvão, Vila Kosmos"
450000,NA,204,342,5 ,5 ,2 ,"Rua Ravena, Campo Grande"
900000,1,1194,132,2 ,5 ,2 ,"Rua Santa Maria Rosselo, Tijuca"
650000,NA,638,170,3 ,2 ,4 ,"Rua Horácio Wells, Irajá"
449000,NA,100,100,2 ,1 ,4 ,"Olaria, Rio de Janeiro"
750000,360,NA,260,3 ,2 ,4 ,"Estrada do Rio Grande, Taquara"
275000,NA,NA,55,2 ,1 ,1 ,"Rua Luís de Brito, Maria da Graça"
970000,750,2100,255,3 ,3 ,4 ,"Estrada da Urucanga, Jacarepaguá"
1630000,750,6000,480,4 ,5 ,2 ,"Avenida Aldemir Martins, Recreio Dos Bandeirantes"
960000,NA,NA,180,3 ,3 ,2 ,"Rua Nogueira Acioli, Jardim Guanabara"
850000,NA,1990,231,4 ,4 ,4 ,"Jardim Sulacap, Rio de Janeiro"
450000,150,905,93,3 ,2 ,1 ,"Rua Ana Silva, Pechincha"
3500000,1109,1219,337,6 ,4 ,3 ,"Barra da Tijuca, Rio de Janeiro"
650000,NA,NA,159,4 ,4 ,2 ,"Rua Antônio Salema, Vila Isabel"
650000,NA,161,170,4 ,2 ,2 ,"Rua Ferreira de Andrade, Cachambi"
2150000,997,6424,355,5 ,5 ,4 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
2150000,997,6424,355,5 ,5 ,4 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
2150000,997,6424,355,5 ,5 ,4 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
580000,NA,NA,200,2 ,4 ,NA,"Rua Fernandes Gusmão, Irajá"
7500000,NA,1475,670,4 ,4 ,NA,"Rua Peri, Jardim Botânico"
550000,NA,NA,200,3 ,1 ,4 ,"Rua Álvaro de Magalhães, Jardim América"
530000,NA,NA,227,3 ,2 ,5 ,"Rua Santa Mariana, Higienópolis"
1700000,1200,329,300,4 ,4 ,2 ,"Estrada da Gávea Pequena, Alto da Boa Vista"
650000,NA,1,100,3 ,2 ,3 ,"Rua Bárbara Heliodora, Jardim Sulacap"
1950000,1013,1121,600,5 ,7 ,3 ,"Estrada do Rio Grande, Taquara"
650000,50,NA,110,3 ,2 ,2 ,"Rua Alzira Brandão, Tijuca"
350000,NA,NA,56,2 ,1 ,NA,"Praia do Zumbi, Zumbi"
489999,NA,286,147,5 ,3 ,2 ,"Rua Conselheiro Jobim, Engenho Novo"
420000,NA,NA,81,2 ,1 ,3 ,"Rua Roruima, Irajá"
1900000,NA,390,218,4 ,6 ,2 ,"Rua Professor Luiz Cantanhede, Laranjeiras"
600000,NA,552,227,2 ,4 ,NA,"Rua Jogo da Bola, Saúde"
585000,NA,1413,230,5 ,1 ,4 ,"Rua Jornalista Mário Galvão, Vila Kosmos"
450000,NA,204,342,5 ,5 ,2 ,"Rua Ravena, Campo Grande"
790000,NA,383,280,3 ,2 ,1 ,"Rua Uruguai, Andaraí"
980000,1084,NA,178,4 ,4 ,3 ,"Avenida Miguel Antônio Fernandes, Recreio Dos Bandeirantes"
740000,NA,163,169,3 ,3 ,3 ,"Rua Rosa e Silva, Grajaú"
6800000,2350,2300,750,5 ,5 ,2 ,"Barra da Tijuca, Rio de Janeiro"
810000,NA,143,188,3 ,2 ,2 ,"Rua Dona Claudina, Méier"
979999,NA,NA,218,4 ,3 ,2 ,"Rua Caçapava, Grajaú"
410000,NA,NA,119,4 ,2 ,NA,"Rua Basílio de Brito, Cachambi"
635000,NA,3317,286,3 ,1 ,1 ,"Jardim Carioca, Rio de Janeiro"
598000,NA,NA,360,4 ,3 ,4 ,"Rua Zacarias, Gardênia Azul"
465000,NA,171,77,2 ,2 ,1 ,"Rua Goulart, Tijuca"
549999,NA,300,150,3 ,3 ,NA,"Rua Sousa Franco, Vila Isabel"
900000,NA,2440,290,3 ,4 ,4 ,"Pechincha, Rio de Janeiro"
3300000,NA,NA,400,3 ,7 ,2 ,"Avenida Di Cavalcanti, Barra da Tijuca"
550000,NA,202,65,3 ,1 ,1 ,"Vila Isabel, Rio de Janeiro"
1000000,NA,2349,301,4 ,5 ,2 ,"Rua Indaiacu, Tijuca"
700000,200,514,210,3 ,2 ,1 ,"Rua Aristides Lobo, Rio Comprido"
550000,NA,NA,84,3 ,3 ,2 ,"Rua Paulino de Oliveira, Campo Grande"
425000,NA,NA,244,3 ,3 ,1 ,"Rua Jorge Coelho, Brás de Pina"
480000,NA,435,180,3 ,3 ,NA,"Rua Justino de Sousa, São Cristóvão"
1400000,NA,7719,350,4 ,5 ,4 ,"Rua Gelson Fonseca, Recreio Dos Bandeirantes"
1100000,NA,1649,160,4 ,2 ,2 ,"Rua Saira Verde I, Freguesia- Jacarepaguá"
750000,NA,NA,400,4 ,5 ,4 ,"Rua Francisco Muzi, Magalhães Bastos"
1400000,NA,8000,356,4 ,3 ,2 ,"Rua Odilon Martins de Andrade, Recreio Dos Bandeirantes"
860000,NA,1462,150,3 ,2 ,1 ,"Rua Amoroso Costa, Tijuca"
550000,NA,1544,152,2 ,3 ,1 ,"Rua Tenente Abel Cunha, Higienópolis"
700000,NA,1750,167,3 ,2 ,NA,"Rua Borda do Mato, Grajaú"
